"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"496.000",19.076,26,1,1,1,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"990.000",11.927,83,3,1,3,2,"condominio porta do sol","rua girassol, 1540 . vila madalena",1997,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,"PINHEIROS",-23.5462779,-46.694569,0
"2.045.475",15.379,133,2,1,2,2,"condominio saquarema","rua jerico, 39 . vila madalena",1988,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5529708,-46.6883849,0
"2.373.600",17.452,136,2,1,4,3,"condominio madaloft","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"870.000",8877,98,3,1,2,1,"condominio lisboa","rua lisboa, 1100 . vila madalena",1970,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"PINHEIROS",-23.5552667,-46.6825475,0
"559.900",7776,72,2,0,2,1,"condominio amplavisao","rua paulistania, 28 . vila madalena",1979,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,"PINHEIROS",-23.5453331,-46.6932458,0
"2.975.966",12.297,242,3,1,4,4,"condominio garden","rua rodesia, 370 . vila madalena",NA,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5521048,-46.6922337,0
"520.000",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"530.000",17.096,31,1,0,1,0,"condominio smart vila madalena","rua paulistania, 215 . vila madalena",2018,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5466586,-46.6920027,0
"856.000",19.454,44,1,0,1,1,"condominio meet sp","rua alves guimaraes, 1120 . vila madalena",2017,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,"PINHEIROS",-23.5527761,-46.6799408,0
